Sample no,sin(x),Inclinometer Y,Inclinometer Y (-256; 256)
1,0.03,0,0
2,0.07,0,0
3,0.11,0,0
4,0.14,0,0
5,0.18,0,0
6,0.22,0,0
7,0.25,0,0
8,0.29,0,0
9,0.32,0,0
10,0.36,0,0
11,0.39,0,0
12,0.43,0,0
13,0.46,0,0
14,0.49,0,0
15,0.53,0,0
16,0.56,0,0
17,0.59,0,0
18,0.62,0,0
19,0.65,0,0
20,0.67,0,0
21,0.7,0,0
22,0.73,0,0
23,0.75,0,0
24,0.78,0,0
25,0.8,0,0
26,0.82,0,0
27,0.84,0,0
28,0.86,0,0
29,0.88,0,0
30,0.9,0,0
31,0.91,0,0
32,0.93,0,0
33,0.94,0,0
34,0.95,0,0
35,0.96,0,0
36,0.97,0,0
37,0.98,0,0
38,0.99,0,0
39,0.99,0,0
40,1,0,0
41,1,0,0
42,1,0,0
43,1,0,0
44,1,0,0
45,1,0,0
46,0.99,0,0
47,0.98,0,0
48,0.98,0,0
49,0.97,0,0
50,0.96,0,0
51,0.95,0,0
52,0.94,0,0
53,0.92,0,0
54,0.91,0,0
55,0.89,0,0
56,0.87,0,0
57,0.85,0,0
58,0.83,0,0
59,0.81,0,0
60,0.79,0,0
61,0.77,0,0
62,0.74,0,0
63,0.72,0,0
64,0.69,0,0
65,0.66,0,0
66,0.64,0,0
67,0.61,0,0
68,0.58,0,0
69,0.55,0,0
70,0.51,0,0
71,0.48,0,0
72,0.45,0,0
73,0.42,0,0
74,0.38,0,0
75,0.35,0,0
76,0.31,0,0
77,0.28,0,0
78,0.24,0,0
79,0.2,0,0
80,0.17,0,0
81,0.13,0,0
82,0.09,0,0
83,0.06,0,0
84,0.02,0,0
85,-0.02,0,0
86,-0.06,0,0
87,-0.09,0,0
88,-0.13,0,0
89,-0.17,0,0
90,-0.2,0,0
91,-0.24,0,0
92,-0.28,0,0
93,-0.31,0,0
94,-0.35,0,0
95,-0.38,0,0
96,-0.42,0,0
97,-0.45,0,0
98,-0.49,0,0
99,-0.52,0,0
100,-0.55,0,0
101,-0.58,0,0
102,-0.61,0,0
103,-0.64,0,0
104,-0.67,0,0
105,-0.7,0,0
106,-0.72,0,0
107,-0.75,0,0
108,-0.77,0,0
109,-0.8,0,0
110,-0.82,0,0
111,-0.84,0,0
112,-0.86,0,0
113,-0.88,0,0
114,-0.9,0,0
115,-0.91,0,0
116,-0.93,0,0
117,-0.94,0,0
118,-0.95,0,0
119,-0.96,0,0
120,-0.97,0,0
121,-0.98,0,0
122,-0.99,0,0
123,-0.99,0,0
124,-1,0,0
125,-1,0,0
126,-1,0,0
127,-1,0,0
128,-1,0,0
129,-0.99,0,0
130,-0.99,0,0
131,-0.98,0,0
132,-0.98,0,0
133,-0.97,0,0
134,-0.96,0,0
135,-0.95,0,0
136,-0.93,0,0
137,-0.92,0,0
138,-0.9,0,0
139,-0.89,0,0
140,-0.87,0,0
141,-0.85,0,0
142,-0.83,0,0
143,-0.81,0,0
144,-0.78,0,0
145,-0.76,0,0
146,-0.73,0,0
147,-0.71,0,0
148,-0.68,0,0
149,-0.65,0,0
150,-0.62,0,0
151,-0.59,236,-20
152,-0.56,236,-20
153,-0.53,236,-20
154,-0.49,236,-20
155,-0.46,236,-20
156,-0.42,236,-20
157,-0.39,237,-19
158,-0.35,237,-19
159,-0.31,237,-19
160,-0.28,238,-18
161,-0.24,238,-18
162,-0.2,239,-17
163,-0.16,239,-17
164,-0.12,240,-16
165,-0.09,241,-15
166,-0.05,241,-15
167,-0.01,242,-14
168,0.03,242,-14
169,0.07,243,-13
170,0.11,244,-12
171,0.15,245,-11
172,0.18,245,-11
173,0.22,245,-11
174,0.26,246,-10
175,0.29,247,-9
176,0.33,247,-9
177,0.37,248,-8
178,0.4,248,-8
179,0.44,248,-8
180,0.47,249,-7
181,0.5,249,-7
182,0.54,249,-7
183,0.57,250,-6
184,0.6,250,-6
185,0.63,250,-6
186,0.66,250,-6
187,0.69,250,-6
188,0.72,250,-6
