Sample no,sin(x),Inclinometer Y,Inclinometer Y (-256; 256)
1,0.02,0,0
2,0.03,0,0
3,0.05,0,0
4,0.07,0,0
5,0.09,0,0
6,0.11,0,0
7,0.13,0,0
8,0.15,0,0
9,0.16,0,0
10,0.18,0,0
11,0.2,0,0
12,0.22,0,0
13,0.24,0,0
14,0.26,0,0
15,0.27,0,0
16,0.29,0,0
17,0.31,0,0
18,0.33,0,0
19,0.34,0,0
20,0.36,0,0
21,0.38,0,0
22,0.4,0,0
23,0.41,0,0
24,0.43,0,0
25,0.45,0,0
26,0.46,0,0
27,0.48,0,0
28,0.5,0,0
29,0.51,0,0
30,0.53,0,0
31,0.54,0,0
32,0.56,0,0
33,0.57,0,0
34,0.59,0,0
35,0.6,0,0
36,0.62,0,0
37,0.63,0,0
38,0.65,0,0
39,0.66,0,0
40,0.68,0,0
41,0.69,0,0
42,0.7,0,0
43,0.72,0,0
44,0.73,0,0
45,0.74,0,0
46,0.75,0,0
47,0.77,0,0
48,0.78,0,0
49,0.79,0,0
50,0.8,0,0
51,0.81,0,0
52,0.82,0,0
53,0.83,0,0
54,0.84,0,0
55,0.85,0,0
56,0.86,0,0
57,0.87,0,0
58,0.88,0,0
59,0.89,0,0
60,0.9,0,0
61,0.91,0,0
62,0.91,0,0
63,0.92,0,0
64,0.93,0,0
65,0.93,0,0
66,0.94,0,0
67,0.95,0,0
68,0.95,0,0
69,0.96,0,0
70,0.96,0,0
71,0.97,0,0
72,0.97,0,0
73,0.98,0,0
74,0.98,0,0
75,0.98,0,0
76,0.99,0,0
77,0.99,0,0
78,0.99,0,0
79,0.99,0,0
80,1,0,0
81,1,0,0
82,1,0,0
83,1,0,0
84,1,0,0
85,1,0,0
86,1,0,0
87,1,0,0
88,1,0,0
89,1,0,0
90,0.99,0,0
91,0.99,0,0
92,0.99,0,0
93,0.99,0,0
94,0.98,0,0
95,0.98,0,0
96,0.98,0,0
97,0.97,0,0
98,0.97,0,0
99,0.96,0,0
100,0.96,0,0
101,0.95,0,0
102,0.95,0,0
103,0.94,0,0
104,0.94,0,0
105,0.93,0,0
106,0.92,0,0
107,0.91,0,0
108,0.91,0,0
109,0.9,0,0
110,0.89,0,0
111,0.88,0,0
112,0.87,0,0
113,0.86,0,0
114,0.85,0,0
115,0.84,0,0
116,0.83,0,0
117,0.82,0,0
118,0.81,0,0
119,0.8,0,0
120,0.79,0,0
121,0.78,0,0
122,0.77,0,0
123,0.75,0,0
124,0.74,0,0
125,0.73,0,0
126,0.72,0,0
127,0.7,0,0
128,0.69,0,0
129,0.68,0,0
130,0.66,0,0
131,0.65,0,0
132,0.63,0,0
133,0.62,0,0
134,0.61,0,0
135,0.59,0,0
136,0.58,0,0
137,0.56,0,0
138,0.54,0,0
139,0.53,0,0
140,0.51,0,0
141,0.5,0,0
142,0.48,0,0
143,0.46,0,0
144,0.45,0,0
145,0.43,0,0
146,0.41,0,0
147,0.4,0,0
148,0.38,0,0
149,0.36,0,0
150,0.34,0,0
151,0.33,0,0
152,0.31,0,0
153,0.29,0,0
154,0.27,0,0
155,0.25,255,-1
156,0.23,255,-1
157,0.22,255,-1
158,0.2,255,-1
159,0.18,255,-1
160,0.16,255,-1
161,0.14,255,-1
162,0.12,255,-1
163,0.1,255,-1
164,0.08,255,-1
165,0.06,255,-1
166,0.04,255,-1
167,0.02,255,-1
168,0,255,-1
169,-0.02,255,-1
170,-0.04,255,-1
171,-0.06,255,-1
172,-0.08,255,-1
173,-0.1,255,-1
174,-0.12,255,-1
175,-0.14,255,-1
176,-0.16,255,-1
177,-0.18,255,-1
178,-0.2,255,-1
179,-0.22,254,-2
180,-0.24,254,-2
181,-0.26,254,-2
182,-0.28,254,-2
183,-0.3,254,-2
184,-0.31,254,-2
185,-0.33,254,-2
186,-0.35,254,-2
187,-0.37,254,-2
188,-0.39,254,-2
189,-0.41,254,-2
190,-0.43,254,-2
191,-0.44,254,-2
192,-0.46,254,-2
193,-0.48,254,-2
194,-0.5,253,-3
195,-0.51,253,-3
196,-0.53,253,-3
197,-0.55,253,-3
198,-0.56,253,-3
199,-0.58,253,-3
200,-0.6,253,-3
201,-0.61,253,-3
202,-0.63,253,-3
203,-0.64,253,-3
204,-0.66,253,-3
205,-0.67,253,-3
206,-0.69,254,-2
207,-0.7,254,-2
208,-0.72,254,-2
209,-0.73,254,-2
210,-0.74,254,-2
211,-0.76,254,-2
212,-0.77,254,-2
213,-0.78,254,-2
214,-0.8,254,-2
215,-0.81,254,-2
216,-0.82,254,-2
217,-0.83,254,-2
218,-0.84,254,-2
219,-0.85,254,-2
220,-0.86,254,-2
221,-0.87,254,-2
222,-0.88,254,-2
223,-0.89,254,-2
224,-0.9,254,-2
225,-0.91,253,-3
226,-0.92,253,-3
227,-0.92,253,-3
228,-0.93,252,-4
229,-0.94,252,-4
230,-0.95,252,-4
231,-0.95,251,-5
232,-0.96,251,-5
233,-0.96,250,-6
234,-0.97,250,-6
235,-0.97,249,-7
236,-0.98,249,-7
237,-0.98,248,-8
238,-0.99,248,-8
239,-0.99,247,-9
240,-0.99,246,-10
241,-0.99,245,-11
242,-1,245,-11
243,-1,244,-12
244,-1,244,-12
245,-1,243,-13
246,-1,242,-14
247,-1,242,-14
248,-1,241,-15
249,-1,240,-16
250,-1,239,-17
251,-1,239,-17
252,-0.99,238,-18
253,-0.99,237,-19
254,-0.99,237,-19
255,-0.99,236,-20
256,-0.98,235,-21
257,-0.98,235,-21
258,-0.97,234,-22
259,-0.97,234,-22
260,-0.96,233,-23
261,-0.96,232,-24
262,-0.95,232,-24
263,-0.95,231,-25
264,-0.94,230,-26
265,-0.93,230,-26
266,-0.93,230,-26
267,-0.92,230,-26
268,-0.91,229,-27
269,-0.9,229,-27
270,-0.89,229,-27
271,-0.88,229,-27
272,-0.88,229,-27
273,-0.87,229,-27
274,-0.86,229,-27
275,-0.85,229,-27
276,-0.83,229,-27
277,-0.82,230,-26
278,-0.81,230,-26
279,-0.8,230,-26
280,-0.79,231,-25
281,-0.78,231,-25
282,-0.76,232,-24
283,-0.75,233,-23
284,-0.74,233,-23
285,-0.72,234,-22
286,-0.71,235,-21
287,-0.7,237,-19
288,-0.68,238,-18
289,-0.67,239,-17
290,-0.65,240,-16
291,-0.64,242,-14
292,-0.62,243,-13
293,-0.61,244,-12
294,-0.59,245,-11
295,-0.58,246,-10
296,-0.56,247,-9
297,-0.54,248,-8
298,-0.53,249,-7
299,-0.51,251,-5
300,-0.49,252,-4
301,-0.47,252,-4
302,-0.46,253,-3
303,-0.44,254,-2
304,-0.42,254,-2
305,-0.4,255,-1
306,-0.39,255,-1
307,-0.37,0,0
308,-0.35,0,0
309,-0.33,0,0
310,-0.31,0,0
311,-0.3,0,0
312,-0.28,0,0
313,-0.26,255,-1
314,-0.24,255,-1
315,-0.22,255,-1
316,-0.2,254,-2
317,-0.18,254,-2
318,-0.16,254,-2
319,-0.14,253,-3
320,-0.12,253,-3
321,-0.1,252,-4
322,-0.08,252,-4
323,-0.06,251,-5
324,-0.04,251,-5
325,-0.03,250,-6
326,-0.01,250,-6
327,0.01,250,-6
328,0.03,249,-7
329,0.05,249,-7
330,0.07,249,-7
331,0.09,249,-7
332,0.11,249,-7
333,0.13,248,-8
334,0.15,248,-8
335,0.17,248,-8
336,0.19,248,-8
337,0.21,248,-8
338,0.23,249,-7
339,0.25,249,-7
340,0.26,249,-7
341,0.28,249,-7
342,0.3,250,-6
343,0.32,251,-5
344,0.34,251,-5
345,0.36,251,-5
346,0.37,252,-4
347,0.39,253,-3
348,0.41,253,-3
349,0.43,254,-2
350,0.45,255,-1
351,0.46,255,-1
352,0.48,0,0
353,0.5,0,0
354,0.51,1,1
355,0.53,1,1
356,0.55,2,2
357,0.56,3,3
358,0.58,4,4
359,0.59,4,4
360,0.61,5,5
361,0.62,6,6
362,0.64,6,6
363,0.65,6,6
364,0.67,7,7
365,0.68,7,7
366,0.69,7,7
367,0.71,7,7
368,0.72,7,7
369,0.73,7,7
370,0.75,7,7
371,0.76,6,6
372,0.77,6,6
373,0.78,5,5
374,0.79,5,5
375,0.81,4,4
376,0.82,3,3
377,0.83,2,2
378,0.84,1,1
379,0.85,0,0
380,0.86,255,-1
381,0.87,255,-1
382,0.88,254,-2
383,0.89,253,-3
384,0.9,251,-5
385,0.9,250,-6
386,0.91,249,-7
387,0.92,248,-8
388,0.93,247,-9
389,0.93,245,-11
390,0.94,244,-12
391,0.95,243,-13
392,0.95,242,-14
393,0.96,240,-16
394,0.96,239,-17
395,0.97,239,-17
396,0.97,238,-18
397,0.98,237,-19
398,0.98,236,-20
399,0.99,235,-21
400,0.99,235,-21
401,0.99,234,-22
402,0.99,234,-22
403,1,233,-23
404,1,233,-23
405,1,233,-23
406,1,233,-23
407,1,233,-23
408,1,233,-23
409,1,234,-22
410,1,234,-22
411,1,234,-22
412,1,235,-21
413,0.99,236,-20
414,0.99,237,-19
415,0.99,238,-18
416,0.99,238,-18
417,0.98,241,-15
418,0.98,242,-14
419,0.98,243,-13
420,0.97,244,-12
421,0.97,246,-10
422,0.96,249,-7
423,0.96,250,-6
424,0.95,252,-4
425,0.94,253,-3
426,0.94,0,0
427,0.93,1,1
428,0.92,2,2
429,0.92,4,4
430,0.91,7,7
431,0.9,8,8
432,0.89,9,9
433,0.88,10,10
434,0.87,11,11
435,0.86,13,13
436,0.85,13,13
437,0.84,15,15
438,0.83,15,15
439,0.82,16,16
440,0.81,16,16
441,0.8,17,17
442,0.79,17,17
443,0.78,17,17
444,0.77,17,17
445,0.75,17,17
446,0.74,17,17
447,0.73,17,17
448,0.71,17,17
449,0.7,17,17
450,0.69,17,17
451,0.67,17,17
452,0.66,17,17
453,0.64,17,17
454,0.63,17,17
455,0.61,17,17
456,0.6,17,17
457,0.58,17,17
458,0.57,17,17
459,0.55,17,17
460,0.54,17,17
461,0.52,17,17
462,0.5,17,17
463,0.49,17,17
464,0.47,17,17
465,0.45,17,17
466,0.43,17,17
467,0.42,17,17
468,0.4,17,17
469,0.38,17,17
470,0.36,17,17
471,0.35,17,17
472,0.33,17,17
473,0.31,17,17
474,0.29,17,17
475,0.27,17,17
476,0.26,17,17
477,0.24,17,17
478,0.22,17,17
479,0.2,17,17
480,0.18,17,17
481,0.16,17,17
482,0.14,17,17
483,0.12,17,17
484,0.1,17,17
485,0.09,17,17
486,0.07,17,17
487,0.05,17,17
488,0.03,17,17
489,0.01,17,17
490,-0.01,17,17
491,-0.03,17,17
492,-0.05,17,17
493,-0.07,17,17
494,-0.09,17,17
495,-0.11,17,17
496,-0.13,17,17
497,-0.15,17,17
498,-0.16,17,17
499,-0.18,17,17
500,-0.2,17,17
501,-0.22,17,17
502,-0.24,17,17
503,-0.26,17,17
504,-0.28,17,17
505,-0.3,17,17
506,-0.32,17,17
507,-0.33,17,17
508,-0.35,17,17
509,-0.37,17,17
510,-0.39,17,17
511,-0.41,17,17
512,-0.42,17,17
513,-0.44,17,17
514,-0.46,17,17
515,-0.48,17,17
516,-0.49,17,17
517,-0.51,17,17
518,-0.53,17,17
519,-0.54,17,17
520,-0.56,17,17
521,-0.57,17,17
522,-0.59,17,17
523,-0.61,17,17
524,-0.62,17,17
525,-0.64,17,17
526,-0.65,17,17
527,-0.67,17,17
528,-0.68,17,17
529,-0.69,17,17
530,-0.71,17,17
531,-0.72,17,17
532,-0.74,17,17
533,-0.75,17,17
534,-0.76,17,17
535,-0.77,17,17
536,-0.79,17,17
537,-0.8,17,17
538,-0.81,17,17
539,-0.82,17,17
540,-0.83,17,17
541,-0.84,17,17
542,-0.85,17,17
543,-0.86,17,17
544,-0.87,17,17
545,-0.88,17,17
546,-0.89,17,17
547,-0.9,17,17
548,-0.91,17,17
549,-0.92,17,17
550,-0.92,17,17
551,-0.93,17,17
552,-0.94,17,17
553,-0.94,17,17
554,-0.95,17,17
555,-0.96,17,17
556,-0.96,17,17
557,-0.97,17,17
558,-0.97,17,17
559,-0.98,17,17
560,-0.98,17,17
561,-0.98,17,17
562,-0.99,17,17
563,-0.99,17,17
564,-0.99,17,17
565,-0.99,17,17
566,-1,17,17
567,-1,17,17
568,-1,17,17
569,-1,17,17
570,-1,17,17
571,-1,17,17
572,-1,17,17
573,-1,17,17
574,-1,17,17
575,-1,17,17
576,-0.99,17,17
577,-0.99,17,17
578,-0.99,17,17
579,-0.99,17,17
580,-0.98,17,17
581,-0.98,17,17
582,-0.97,17,17
583,-0.97,17,17
584,-0.96,17,17
585,-0.96,17,17
586,-0.95,17,17
587,-0.95,17,17
588,-0.94,17,17
589,-0.93,17,17
590,-0.93,17,17
591,-0.92,17,17
592,-0.91,17,17
593,-0.9,17,17
594,-0.9,17,17
595,-0.89,17,17
596,-0.88,17,17
597,-0.87,29,29
598,-0.86,29,29
599,-0.85,27,27
600,-0.84,27,27
601,-0.83,26,26
602,-0.81,25,25
603,-0.8,24,24
604,-0.79,23,23
605,-0.78,23,23
606,-0.77,22,22
607,-0.75,22,22
608,-0.74,20,20
609,-0.73,20,20
610,-0.71,20,20
611,-0.7,18,18
612,-0.69,17,17
613,-0.67,16,16
614,-0.66,16,16
615,-0.64,15,15
616,-0.63,15,15
617,-0.61,14,14
618,-0.6,14,14
619,-0.58,13,13
620,-0.56,13,13
621,-0.55,13,13
622,-0.53,13,13
623,-0.52,13,13
624,-0.5,13,13
625,-0.48,13,13
626,-0.47,13,13
627,-0.45,13,13
628,-0.43,13,13
629,-0.41,14,14
630,-0.4,14,14
631,-0.38,15,15
632,-0.36,15,15
633,-0.34,16,16
634,-0.32,16,16
635,-0.31,17,17
636,-0.29,18,18
637,-0.27,18,18
638,-0.25,19,19
639,-0.23,20,20
640,-0.21,20,20
641,-0.19,21,21
642,-0.17,21,21
643,-0.15,22,22
644,-0.13,22,22
645,-0.11,22,22
646,-0.09,22,22
647,-0.07,22,22
648,-0.05,22,22
649,-0.03,22,22
650,-0.01,243,-13
651,0.01,243,-13
652,0.03,243,-13
653,0.05,243,-13
654,0.06,243,-13
655,0.08,242,-14
656,0.1,242,-14
657,0.12,242,-14
658,0.14,242,-14
659,0.16,242,-14
660,0.18,242,-14
661,0.2,242,-14
662,0.22,242,-14
663,0.24,242,-14
664,0.26,242,-14
665,0.28,242,-14
666,0.3,243,-13
667,0.32,243,-13
668,0.33,243,-13
669,0.35,243,-13
670,0.37,245,-11
671,0.39,246,-10
672,0.41,247,-9
673,0.43,247,-9
674,0.44,248,-8
675,0.46,250,-6
676,0.48,250,-6
677,0.5,251,-5
678,0.51,251,-5
679,0.53,253,-3
680,0.55,254,-2
681,0.56,255,-1
682,0.58,0,0
683,0.59,0,0
684,0.61,1,1
685,0.62,1,1
686,0.64,2,2
687,0.65,3,3
688,0.67,3,3
689,0.68,3,3
690,0.7,3,3
691,0.71,3,3
692,0.72,3,3
693,0.74,3,3
694,0.75,3,3
695,0.76,3,3
696,0.77,2,2
697,0.79,2,2
698,0.8,1,1
699,0.81,0,0
700,0.82,0,0
701,0.83,0,0
702,0.84,255,-1
703,0.85,254,-2
704,0.86,254,-2
705,0.87,252,-4
706,0.88,251,-5
707,0.89,250,-6
708,0.9,248,-8
709,0.91,248,-8
710,0.92,247,-9
711,0.92,246,-10
712,0.93,245,-11
713,0.94,245,-11
714,0.94,244,-12
715,0.95,244,-12
716,0.96,243,-13
717,0.96,243,-13
718,0.97,243,-13
719,0.97,243,-13
720,0.98,243,-13
721,0.98,244,-12
722,0.98,244,-12
723,0.99,244,-12
724,0.99,245,-11
725,0.99,245,-11
726,1,246,-10
727,1,247,-9
728,1,248,-8
729,1,249,-7
730,1,249,-7
731,1,251,-5
732,1,252,-4
733,1,252,-4
734,1,253,-3
735,1,255,-1
736,1,255,-1
737,0.99,0,0
738,0.99,0,0
739,0.99,1,1
740,0.98,1,1
741,0.98,1,1
742,0.98,2,2
743,0.97,2,2
744,0.97,2,2
745,0.96,2,2
746,0.96,2,2
747,0.95,2,2
748,0.95,2,2
749,0.94,2,2
750,0.93,2,2
751,0.93,1,1
752,0.92,0,0
753,0.91,0,0
754,0.9,0,0
755,0.89,0,0
756,0.89,255,-1
757,0.88,254,-2
758,0.87,253,-3
759,0.86,253,-3
760,0.85,252,-4
761,0.84,251,-5
762,0.82,250,-6
763,0.81,250,-6
764,0.8,249,-7
765,0.79,248,-8
766,0.78,248,-8
767,0.76,248,-8
768,0.75,247,-9
769,0.74,247,-9
770,0.73,246,-10
771,0.71,246,-10
772,0.7,246,-10
773,0.68,246,-10
774,0.67,246,-10
775,0.65,246,-10
776,0.64,246,-10
777,0.62,246,-10
778,0.61,246,-10
779,0.59,248,-8
780,0.58,248,-8
781,0.56,248,-8
782,0.54,249,-7
783,0.53,249,-7
784,0.51,249,-7
785,0.49,249,-7
786,0.48,249,-7
787,0.46,250,-6
788,0.44,250,-6
789,0.42,250,-6
790,0.41,250,-6
791,0.39,250,-6
792,0.37,250,-6
793,0.35,250,-6
794,0.33,250,-6
795,0.31,249,-7
