Sample no,sin(x),Inclinometer Y,Inclinometer Y (-256, 256)
240,-0.92,249,-7,
241,-0.84,249,-7,
242,-0.74,249,-7,
243,-0.63,250,-6,
244,-0.5,250,-6,
245,-0.35,250,-6,
246,-0.2,250,-6,
247,-0.04,250,-6,
248,0.12,250,-6,
249,0.28,250,-6,
250,0.42,250,-6,
251,0.56,249,-7,
252,0.68,249,-7,
253,0.79,249,-7,
254,0.88,249,-7,
255,0.94,249,-7,
256,0.98,248,-8,
257,1,248,-8,
258,0.99,248,-8,
259,0.96,248,-8,
260,0.9,248,-8,
261,0.82,248,-8,
262,0.73,248,-8,
263,0.61,247,-9,
264,0.48,247,-9,
265,0.33,247,-9,
266,0.18,247,-9,
267,0.02,247,-9,
268,-0.13,247,-9,
269,-0.29,247,-9,
270,-0.44,247,-9,
271,-0.58,246,-10,
272,-0.7,246,-10,
273,-0.8,246,-10,
274,-0.89,246,-10,
275,-0.95,245,-11,
276,-0.99,245,-11,
277,-1,245,-11,
278,-0.99,245,-11,
279,-0.95,244,-12,
280,-0.88,244,-12,
281,-0.8,244,-12,
282,-0.69,243,-13,
283,-0.57,243,-13,
284,-0.43,243,-13,
285,-0.28,242,-14,
286,-0.12,242,-14,
287,0.04,242,-14,
288,0.19,242,-14,
289,0.34,242,-14,
290,0.49,242,-14,
291,0.62,243,-13,
292,0.73,243,-13,
293,0.83,244,-12,
294,0.91,244,-12,
295,0.96,244,-12,
296,0.99,245,-11,
297,1,246,-10,
298,0.98,246,-10,
299,0.94,247,-9,
300,0.87,248,-8,
301,0.78,249,-7,
302,0.67,249,-7,
303,0.55,250,-6,
304,0.41,250,-6,
305,0.26,250,-6,
306,0.11,250,-6,
307,-0.05,250,-6,
308,-0.21,250,-6,
309,-0.36,250,-6,
310,-0.5,250,-6,
311,-0.63,250,-6,
312,-0.75,250,-6,
313,-0.85,250,-6,
314,-0.92,250,-6,
315,-0.97,250,-6,
316,-1,250,-6,
317,-1,250,-6,
318,-0.97,250,-6,
319,-0.92,250,-6,
320,-0.85,250,-6,
321,-0.75,250,-6,
322,-0.64,250,-6,
323,-0.51,250,-6,
324,-0.37,250,-6,
325,-0.21,250,-6,
326,-0.05,250,-6,
327,0.1,250,-6,
328,0.26,250,-6,
329,0.41,250,-6,
330,0.55,250,-6,
331,0.67,250,-6,
332,0.78,250,-6,
333,0.87,250,-6,
334,0.94,250,-6,
335,0.98,250,-6,
336,1,250,-6,
337,0.99,250,-6,
338,0.96,250,-6,
339,0.91,250,-6,
340,0.83,250,-6,
341,0.74,250,-6,
342,0.62,250,-6,
343,0.49,250,-6,
344,0.35,250,-6,
345,0.2,250,-6,
346,0.04,250,-6,
347,-0.12,250,-6,
348,-0.27,250,-6,
349,-0.42,250,-6,
350,-0.56,250,-6,
351,-0.69,250,-6,
352,-0.79,250,-6,
353,-0.88,250,-6,
354,-0.95,250,-6,
355,-0.99,250,-6,
356,-1,250,-6,
357,-0.99,250,-6,
358,-0.95,250,-6,
359,-0.89,250,-6,
360,-0.81,250,-6,
361,-0.71,250,-6,
362,-0.58,250,-6,
363,-0.45,250,-6,
364,-0.3,250,-6,
365,-0.14,250,-6,
366,0.01,250,-6,
367,0.17,250,-6,
368,0.32,250,-6,
369,0.47,250,-6,
370,0.6,250,-6,
371,0.72,250,-6,
372,0.82,250,-6,
373,0.9,250,-6,
374,0.96,250,-6,
375,0.99,250,-6,
376,1,250,-6,
377,0.98,250,-6,
378,0.94,250,-6,
379,0.88,250,-6,
380,0.8,250,-6,
381,0.69,250,-6,
382,0.57,250,-6,
383,0.43,250,-6,
384,0.28,250,-6,
385,0.13,250,-6,
386,-0.03,250,-6,
387,-0.19,250,-6,
388,-0.34,250,-6,
389,-0.48,250,-6,
390,-0.62,250,-6,
391,-0.74,250,-6,
392,-0.83,250,-6,
393,-0.91,250,-6,
394,-0.97,250,-6,
395,-0.99,250,-6,
396,-1,250,-6,
397,-0.98,250,-6,
398,-0.93,250,-6,
399,-0.86,250,-6,
400,-0.77,250,-6,
401,-0.66,250,-6,
402,-0.53,250,-6,
403,-0.38,250,-6,
404,-0.23,250,-6,
405,-0.07,250,-6,
406,0.08,250,-6,
407,0.24,250,-6,
408,0.39,250,-6,
409,0.53,250,-6,
410,0.66,250,-6,
411,0.77,250,-6,
412,0.86,250,-6,
413,0.93,250,-6,
414,0.97,250,-6,
415,1,250,-6,
416,1,250,-6,
417,0.97,250,-6,
418,0.92,250,-6,
419,0.85,250,-6,
420,0.75,250,-6,
421,0.64,250,-6,
422,0.51,250,-6,
423,0.37,250,-6,
424,0.22,250,-6,
425,0.06,250,-6,
426,-0.1,250,-6,
427,-0.25,250,-6,
428,-0.41,250,-6,
429,-0.55,250,-6,
430,-0.67,250,-6,
431,-0.78,250,-6,
432,-0.87,250,-6,
433,-0.94,250,-6,
434,-0.98,250,-6,
435,-1,250,-6,
436,-0.99,250,-6,
437,-0.96,250,-6,
438,-0.9,250,-6,
439,-0.82,250,-6,
440,-0.72,250,-6,
441,-0.6,250,-6,
442,-0.47,250,-6,
443,-0.32,250,-6,
444,-0.16,250,-6,
445,0,250,-6,
446,0.16,250,-6,
447,0.31,250,-6,
448,0.45,250,-6,
449,0.59,250,-6,
450,0.71,250,-6,
451,0.81,250,-6,
452,0.89,0,0,
453,0.95,0,0,
454,0.99,255,-1,
455,1,254,-2,
456,0.99,252,-4,
457,0.95,251,-5,
458,0.88,251,-5,
459,0.8,249,-7,
460,0.69,249,-7,
461,0.57,248,-8,
462,0.42,248,-8,
463,0.27,248,-8,
464,0.11,247,-9,
465,-0.05,247,-9,
466,-0.21,248,-8,
467,-0.37,248,-8,
468,-0.52,248,-8,
469,-0.65,248,-8,
470,-0.77,249,-7,
471,-0.86,249,-7,
472,-0.93,250,-6,
473,-0.98,251,-5,
474,-1,251,-5,
475,-0.99,252,-4,
476,-0.96,252,-4,
477,-0.9,253,-3,
478,-0.82,254,-2,
479,-0.71,255,-1,
480,-0.58,0,0,
481,-0.45,0,0,
482,-0.3,1,1,
483,-0.14,2,2,
484,0.02,3,3,
485,0.17,4,4,
486,0.33,5,5,
487,0.47,6,6,
488,0.6,7,7,
489,0.72,8,8,
490,0.82,10,10,
491,0.9,11,11,
492,0.96,11,11,
493,0.99,12,12,
494,1,14,14,
495,0.98,15,15,
496,0.94,15,15,
497,0.87,17,17,
498,0.78,17,17,
499,0.67,18,18,
500,0.54,18,18,
501,0.4,19,19,
502,0.25,19,19,
503,0.1,19,19,
504,-0.06,19,19,
505,-0.22,19,19,
506,-0.38,19,19,
507,-0.52,19,19,
508,-0.65,19,19,
509,-0.77,18,18,
510,-0.86,18,18,
511,-0.93,17,17,
512,-0.98,16,16,
513,-1,16,16,
514,-0.99,15,15,
515,-0.96,14,14,
516,-0.91,13,13,
517,-0.82,12,12,
518,-0.72,10,10,
519,-0.6,9,9,
520,-0.47,9,9,
521,-0.32,8,8,
522,-0.17,6,6,
523,-0.01,5,5,
524,0.14,5,5,
525,0.29,4,4,
526,0.43,4,4,
527,0.57,4,4,
528,0.69,4,4,
529,0.79,4,4,
530,0.87,4,4,
531,0.94,4,4,
532,0.98,4,4,
533,1,4,4,
534,0.99,4,4,
535,0.97,4,4,
536,0.92,4,4,
537,0.85,4,4,
538,0.75,4,4,
539,0.64,4,4,
540,0.52,4,4,
541,0.38,4,4,
542,0.24,4,4,
543,0.09,4,4,
544,-0.07,4,4,
545,-0.22,4,4,
546,-0.37,4,4,
547,-0.51,4,4,
548,-0.63,4,4,
549,-0.75,4,4,
550,-0.84,4,4,
551,-0.91,4,4,
552,-0.97,4,4,
553,-0.99,4,4,
554,-1,4,4,
555,-0.98,4,4,
556,-0.94,4,4,
557,-0.87,4,4,
558,-0.78,4,4,
559,-0.68,4,4,
560,-0.55,4,4,
561,-0.42,4,4,
562,-0.27,4,4,
563,-0.12,4,4,
564,0.04,4,4,
565,0.19,4,4,
566,0.34,4,4,
567,0.48,4,4,
568,0.6,4,4,
569,0.72,4,4,
570,0.82,4,4,
571,0.9,4,4,
572,0.95,4,4,
573,0.99,4,4,
574,1,4,4,
575,0.99,4,4,
576,0.95,4,4,
577,0.9,4,4,
578,0.82,4,4,
579,0.72,4,4,
580,0.61,4,4,
581,0.48,4,4,
582,0.34,4,4,
583,0.19,4,4,
584,0.04,4,4,
585,-0.11,4,4,
586,-0.27,4,4,
587,-0.41,4,4,
588,-0.55,4,4,
589,-0.67,4,4,
590,-0.78,4,4,
591,-0.87,4,4,
592,-0.93,4,4,
593,-0.98,4,4,
594,-1,4,4,
595,-1,4,4,
596,-0.97,4,4,
597,-0.92,4,4,
598,-0.84,4,4,
599,-0.75,4,4,
600,-0.64,4,4,
601,-0.51,4,4,
602,-0.38,4,4,
603,-0.23,4,4,
604,-0.07,4,4,
605,0.08,4,4,
606,0.23,4,4,
607,0.38,4,4,
608,0.52,4,4,
609,0.64,4,4,
610,0.75,4,4,
611,0.84,4,4,
612,0.91,4,4,
613,0.97,4,4,
614,0.99,4,4,
615,1,4,4,
616,0.98,4,4,
617,0.94,4,4,
618,0.88,4,4,
619,0.79,4,4,
620,0.69,4,4,
621,0.57,4,4,
622,0.44,4,4,
623,0.3,4,4,
624,0.15,4,4,
625,-0.01,4,4,
626,-0.16,4,4,
627,-0.31,4,4,
628,-0.46,4,4,
629,-0.59,4,4,
630,-0.71,4,4,
631,-0.81,4,4,
632,-0.89,4,4,
633,-0.95,4,4,
634,-0.99,4,4,
635,-1,4,4,
636,-0.99,4,4,
637,-0.95,4,4,
638,-0.9,4,4,
639,-0.82,4,4,
640,-0.72,4,4,
641,-0.6,4,4,
642,-0.47,4,4,
643,-0.33,4,4,
644,-0.18,4,4,
645,-0.02,4,4,
646,0.13,4,4,
647,0.28,4,4,
648,0.43,4,4,
649,0.56,4,4,
650,0.68,4,4,
651,0.78,4,4,
652,0.87,4,4,
653,0.93,4,4,
654,0.98,4,4,
655,1,4,4,
656,1,4,4,
657,0.97,4,4,
658,0.92,4,4,
659,0.85,4,4,
660,0.76,4,4,
661,0.65,4,4,
662,0.53,4,4,
663,0.39,4,4,
664,0.25,4,4,
665,0.1,4,4,
666,-0.06,4,4,
667,-0.21,4,4,
668,-0.36,4,4,
669,-0.5,4,4,
670,-0.63,4,4,
671,-0.74,4,4,
672,-0.84,4,4,
673,-0.91,4,4,
674,-0.96,4,4,
675,-0.99,4,4,
676,-1,4,4,
677,-0.98,233,-23,
678,-0.94,234,-22,
679,-0.87,234,-22,
680,-0.79,235,-21,
681,-0.68,235,-21,
682,-0.56,235,-21,
683,-0.42,235,-21,
684,-0.28,236,-20,
685,-0.12,236,-20,
686,0.03,236,-20,
687,0.18,236,-20,
688,0.33,237,-19,
689,0.47,237,-19,
690,0.6,237,-19,
691,0.72,237,-19,
692,0.81,237,-19,
693,0.89,237,-19,
694,0.95,237,-19,
695,0.99,237,-19,
696,1,237,-19,
697,0.99,237,-19,
698,0.96,238,-18,
699,0.9,238,-18,
700,0.82,238,-18,
701,0.73,238,-18,
702,0.61,238,-18,
703,0.48,238,-18,
704,0.34,239,-17,
705,0.2,239,-17,
706,0.04,239,-17,
707,-0.11,239,-17,
708,-0.26,239,-17,
709,-0.41,239,-17,
710,-0.54,239,-17,
711,-0.67,239,-17,
712,-0.78,239,-17,
713,-0.86,239,-17,
714,-0.93,251,-5,
715,-0.98,251,-5,
716,-1,251,-5,
717,-0.99,251,-5,
718,-0.97,251,-5,
719,-0.91,250,-6,
720,-0.84,250,-6,
721,-0.74,250,-6,
722,-0.63,250,-6,
723,-0.5,249,-7,
724,-0.35,249,-7,
725,-0.2,249,-7,
726,-0.04,248,-8,
727,0.11,248,-8,
728,0.27,248,-8,
729,0.41,248,-8,
730,0.55,248,-8,
731,0.67,247,-9,
732,0.78,247,-9,
733,0.87,247,-9,
734,0.93,247,-9,
735,0.98,247,-9,
736,1,247,-9,
737,0.99,247,-9,
738,0.97,247,-9,
739,0.92,248,-8,
740,0.84,248,-8,
741,0.75,248,-8,
742,0.64,249,-7,
743,0.51,249,-7,
744,0.37,250,-6,
745,0.22,250,-6,
746,0.07,250,-6,
747,-0.09,251,-5,
748,-0.24,251,-5,
749,-0.39,252,-4,
750,-0.53,252,-4,
751,-0.66,252,-4,
752,-0.77,252,-4,
753,-0.86,252,-4,
754,-0.93,252,-4,
755,-0.98,252,-4,
756,-1,252,-4,
757,-1,252,-4,
758,-0.97,251,-5,
759,-0.92,251,-5,
760,-0.84,250,-6,
761,-0.75,250,-6,
762,-0.64,249,-7,
763,-0.51,248,-8,
764,-0.36,248,-8,
765,-0.21,247,-9,
766,-0.06,247,-9,
767,0.1,247,-9,
768,0.25,245,-11,
769,0.4,245,-11,
770,0.54,244,-12,
771,0.66,243,-13,
772,0.77,243,-13,
773,0.86,243,-13,
774,0.93,242,-14,
775,0.97,242,-14,
776,1,241,-15,
777,1,241,-15,
778,0.97,241,-15,
779,0.92,241,-15,
780,0.85,241,-15,
781,0.76,241,-15,
782,0.65,241,-15,
783,0.52,241,-15,
784,0.38,242,-14,
785,0.23,242,-14,
786,0.08,242,-14,
787,-0.07,243,-13,
788,-0.23,243,-13,
789,-0.38,244,-12,
790,-0.52,244,-12,
791,-0.65,245,-11,
792,-0.76,246,-10,
793,-0.85,246,-10,
794,-0.92,247,-9,
795,-0.97,248,-8,
796,-1,249,-7,
797,-1,249,-7,
798,-0.97,250,-6,
799,-0.92,251,-5,
800,-0.85,251,-5,
801,-0.76,251,-5,
802,-0.65,252,-4,
803,-0.52,252,-4,
804,-0.38,253,-3,
805,-0.23,253,-3,
806,-0.07,253,-3,
807,0.09,253,-3,
808,0.24,253,-3,
809,0.39,253,-3,
810,0.53,253,-3,
811,0.65,253,-3,
812,0.76,253,-3,
813,0.85,253,-3,
814,0.92,253,-3,
815,0.97,253,-3,
816,1,253,-3,
817,1,253,-3,
818,0.97,253,-3,
819,0.93,254,-2,
820,0.86,254,-2,
821,0.77,254,-2,
822,0.66,254,-2,
823,0.53,254,-2,
824,0.39,254,-2,
825,0.25,254,-2,
826,0.09,254,-2,
827,-0.06,254,-2,
828,-0.22,254,-2,
829,-0.37,254,-2,
830,-0.51,254,-2,
831,-0.64,253,-3,
832,-0.75,253,-3,
833,-0.85,253,-3,
834,-0.92,253,-3,
835,-0.97,253,-3,
836,-1,252,-4,
837,-1,252,-4,
838,-0.97,252,-4,
839,-0.93,252,-4,
840,-0.86,251,-5,
841,-0.77,251,-5,
842,-0.65,251,-5,
843,-0.53,250,-6,
844,-0.39,250,-6,
845,-0.24,250,-6,
846,-0.08,250,-6,
847,0.07,249,-7,
848,0.23,249,-7,
849,0.38,249,-7,
850,0.52,249,-7,
851,0.64,248,-8,
852,0.75,248,-8,
853,0.85,248,-8,
854,0.92,248,-8,
855,0.97,249,-7,
856,1,249,-7,
857,1,249,-7,
858,0.98,249,-7,
859,0.93,250,-6,
860,0.86,250,-6,
861,0.77,250,-6,
862,0.67,251,-5,
863,0.54,251,-5,
864,0.41,252,-4,
865,0.26,252,-4,
866,0.11,252,-4,
867,-0.05,253,-3,
868,-0.21,253,-3,
869,-0.36,253,-3,
870,-0.5,253,-3,
871,-0.63,253,-3,
872,-0.74,253,-3,
873,-0.84,253,-3,
874,-0.91,253,-3,
875,-0.97,252,-4,
876,-0.99,252,-4,
877,-1,251,-5,
878,-0.98,251,-5,
879,-0.93,250,-6,
880,-0.86,249,-7,
881,-0.77,249,-7,
882,-0.66,248,-8,
883,-0.54,247,-9,
884,-0.4,247,-9,
885,-0.25,246,-10,
886,-0.1,246,-10,
887,0.06,245,-11,
888,0.22,244,-12,
889,0.37,244,-12,
890,0.51,243,-13,
891,0.63,242,-14,
892,0.75,242,-14,
893,0.84,242,-14,
894,0.91,242,-14,
895,0.97,242,-14,
896,0.99,242,-14,
897,1,242,-14,
898,0.98,242,-14,
899,0.94,242,-14,
900,0.87,242,-14,
901,0.78,242,-14,
902,0.68,243,-13,
903,0.55,244,-12,
904,0.42,244,-12,
905,0.27,244,-12,
906,0.12,245,-11,
907,-0.04,246,-10,
908,-0.19,246,-10,
909,-0.35,247,-9,
910,-0.49,248,-8,
911,-0.62,249,-7,
912,-0.73,249,-7,
913,-0.83,250,-6,
914,-0.91,250,-6,
915,-0.96,251,-5,
916,-0.99,252,-4,
917,-1,252,-4,
918,-0.98,252,-4,
919,-0.94,253,-3,
920,-0.87,253,-3,
921,-0.78,253,-3,
922,-0.67,253,-3,
923,-0.55,253,-3,
924,-0.41,253,-3,
925,-0.26,253,-3,
926,-0.11,253,-3,
927,0.05,253,-3,
928,0.2,252,-4,
929,0.35,252,-4,
930,0.49,252,-4,
931,0.62,251,-5,
932,0.74,251,-5,
933,0.83,250,-6,
934,0.91,250,-6,
935,0.96,250,-6,
936,0.99,249,-7,
937,1,249,-7,
938,0.98,249,-7,
939,0.94,249,-7,
940,0.88,249,-7,
941,0.79,249,-7,
942,0.69,249,-7,
943,0.56,249,-7,
944,0.43,249,-7,
945,0.28,249,-7,
946,0.13,250,-6,
947,-0.02,250,-6,
948,-0.18,250,-6,
949,-0.33,251,-5,
950,-0.48,251,-5,
951,-0.61,251,-5,
952,-0.73,251,-5,
953,-0.82,252,-4,
954,-0.9,252,-4,
955,-0.96,252,-4,
956,-0.99,252,-4,
957,-1,252,-4,
958,-0.98,252,-4,
959,-0.94,252,-4,
960,-0.88,252,-4,
961,-0.79,252,-4,
962,-0.68,252,-4,
963,-0.56,252,-4,
964,-0.42,252,-4,
965,-0.28,252,-4,
966,-0.12,252,-4,
967,0.04,252,-4,
968,0.19,252,-4,
969,0.34,252,-4,
970,0.48,252,-4,
971,0.61,252,-4,
972,0.73,252,-4,
973,0.83,252,-4,
974,0.9,252,-4,
975,0.96,252,-4,
976,0.99,252,-4,
977,1,251,-5,
978,0.98,251,-5,
979,0.94,251,-5,
980,0.88,251,-5,
981,0.8,251,-5,
982,0.69,251,-5,
983,0.57,250,-6,
984,0.44,250,-6,
985,0.3,250,-6,
986,0.14,250,-6,
987,-0.01,250,-6,
988,-0.17,250,-6,
989,-0.32,250,-6,
990,-0.47,249,-7,
991,-0.6,249,-7,
992,-0.72,249,-7,
993,-0.82,249,-7,
994,-0.9,249,-7,
995,-0.96,248,-8,
996,-0.99,248,-8,
997,-1,248,-8,
998,-0.98,247,-9,
999,-0.95,247,-9,
1000,-0.88,246,-10,
1001,-0.8,246,-10,
1002,-0.69,246,-10,
1003,-0.57,245,-11,
1004,-0.43,245,-11,
1005,-0.29,245,-11,
1006,-0.13,244,-12,
1007,0.02,244,-12,
1008,0.18,244,-12,
1009,0.33,244,-12,
1010,0.47,244,-12,
1011,0.6,244,-12,
1012,0.72,244,-12,
1013,0.82,245,-11,
1014,0.9,245,-11,
1015,0.95,246,-10,
1016,0.99,246,-10,
1017,1,247,-9,
1018,0.99,247,-9,
1019,0.95,248,-8,
1020,0.89,249,-7,
1021,0.81,249,-7,
1022,0.7,250,-6,
1023,0.59,251,-5,
1024,0.45,251,-5,
1025,0.31,253,-3,
1026,0.16,253,-3,
1027,0,255,-1,
1028,-0.15,255,-1,
1029,-0.31,0,0,
1030,-0.45,0,0,
1031,-0.58,0,0,
1032,-0.7,0,0,
1033,-0.8,0,0,
1034,-0.88,0,0,
1035,-0.94,0,0,
1036,-0.98,0,0,
1037,-1,0,0,
1038,-0.99,0,0,
1039,-0.96,0,0,
1040,-0.91,0,0,
1041,-0.84,255,-1,
1042,-0.74,255,-1,
1043,-0.63,254,-2,
1044,-0.5,254,-2,
1045,-0.35,252,-4,
1046,-0.2,252,-4,
1047,-0.04,251,-5,
1048,0.11,250,-6,
1049,0.27,249,-7,
1050,0.41,248,-8,
1051,0.55,248,-8,
1052,0.67,247,-9,
1053,0.78,246,-10,
1054,0.87,245,-11,
1055,0.93,245,-11,
1056,0.98,245,-11,
1057,1,244,-12,
1058,0.99,244,-12,
1059,0.97,244,-12,
1060,0.92,243,-13,
1061,0.84,243,-13,
1062,0.75,243,-13,
1063,0.64,243,-13,
1064,0.51,244,-12,
1065,0.37,244,-12,
1066,0.22,244,-12,
1067,0.07,245,-11,
1068,-0.09,245,-11,
1069,-0.24,246,-10,
1070,-0.39,246,-10,
1071,-0.53,247,-9,
1072,-0.66,247,-9,
1073,-0.77,248,-8,
1074,-0.86,248,-8,
1075,-0.93,248,-8,
1076,-0.98,249,-7,
1077,-1,249,-7,
1078,-1,250,-6,
1079,-0.97,250,-6,
1080,-0.92,250,-6,
1081,-0.84,251,-5,
1082,-0.75,251,-5,
1083,-0.64,251,-5,
1084,-0.51,251,-5,
1085,-0.36,251,-5,
1086,-0.21,251,-5,
1087,-0.06,252,-4,
1088,0.1,252,-4,
1089,0.25,252,-4,
1090,0.4,252,-4,
1091,0.54,252,-4,
1092,0.66,252,-4,
1093,0.77,252,-4,
1094,0.86,252,-4,
1095,0.93,252,-4,
1096,0.97,252,-4,
1097,1,251,-5,
1098,1,251,-5,
1099,0.97,251,-5,
1100,0.92,251,-5,
1101,0.85,251,-5,
1102,0.76,251,-5,
1103,0.65,251,-5,
1104,0.52,250,-6,
1105,0.38,250,-6,
1106,0.23,250,-6,
1107,0.08,250,-6,
1108,-0.07,250,-6,
1109,-0.23,250,-6,
1110,-0.38,250,-6,
1111,-0.52,250,-6,
1112,-0.65,249,-7,
1113,-0.76,249,-7,
1114,-0.85,249,-7,
1115,-0.92,249,-7,
1116,-0.97,248,-8,
1117,-1,248,-8,
1118,-1,248,-8,
1119,-0.97,247,-9,
1120,-0.92,247,-9,
1121,-0.85,246,-10,
1122,-0.76,246,-10,
1123,-0.65,246,-10,
1124,-0.52,246,-10,
1125,-0.38,245,-11,
1126,-0.23,245,-11,
1127,-0.07,244,-12,
1128,0.09,244,-12,
1129,0.24,244,-12,
1130,0.39,244,-12,
1131,0.53,244,-12,
1132,0.65,244,-12,
1133,0.76,244,-12,
1134,0.85,244,-12,
1135,0.92,244,-12,
1136,0.97,245,-11,
1137,1,246,-10,
1138,1,246,-10,
1139,0.97,247,-9,
1140,0.93,247,-9,
1141,0.86,249,-7,
1142,0.77,250,-6,
1143,0.66,250,-6,
1144,0.53,251,-5,
1145,0.39,253,-3,
1146,0.25,254,-2,
1147,0.09,254,-2,
