Sample no,sin(x),Inclinometer Y,Inclinometer Y (-256, 256)
1,0.13,0,0,
2,0.27,0,0,
3,0.41,0,0,
4,0.54,0,0,
5,0.66,0,0,
6,0.77,0,0,
7,0.85,0,0,
8,0.92,0,0,
9,0.97,0,0,
10,0.99,0,0,
11,1,0,0,
12,0.98,0,0,
13,0.94,0,0,
14,0.88,0,0,
15,0.8,0,0,
16,0.7,0,0,
17,0.59,0,0,
18,0.46,0,0,
19,0.33,0,0,
20,0.18,0,0,
21,0.03,0,0,
22,-0.11,0,0,
23,-0.26,0,0,
24,-0.4,0,0,
25,-0.54,0,0,
26,-0.66,0,0,
27,-0.76,0,0,
28,-0.85,0,0,
29,-0.92,0,0,
30,-0.97,0,0,
31,-1,0,0,
32,-1,0,0,
33,-0.98,0,0,
34,-0.94,0,0,
35,-0.88,0,0,
36,-0.79,0,0,
37,-0.69,0,0,
38,-0.58,0,0,
39,-0.45,0,0,
40,-0.31,0,0,
41,-0.16,0,0,
42,-0.01,0,0,
43,0.14,0,0,
44,0.28,0,0,
45,0.42,0,0,
46,0.55,0,0,
47,0.67,0,0,
48,0.77,0,0,
49,0.86,0,0,
50,0.93,0,0,
51,0.97,0,0,
52,1,0,0,
53,1,0,0,
54,0.98,0,0,
55,0.94,0,0,
56,0.88,0,0,
57,0.79,0,0,
58,0.7,0,0,
59,0.58,0,0,
60,0.45,0,0,
61,0.32,0,0,
62,0.17,0,0,
63,0.02,0,0,
64,-0.12,0,0,
65,-0.27,0,0,
66,-0.41,0,0,
67,-0.55,0,0,
68,-0.67,0,0,
69,-0.77,0,0,
70,-0.86,0,0,
71,-0.92,0,0,
72,-0.97,0,0,
73,-1,0,0,
74,-1,0,0,
75,-0.98,0,0,
76,-0.93,0,0,
77,-0.87,0,0,
78,-0.79,0,0,
79,-0.69,0,0,
80,-0.57,0,0,
81,-0.44,0,0,
82,-0.3,0,0,
83,-0.15,0,0,
84,0,0,0,
85,0.15,0,0,
86,0.29,0,0,
87,0.43,0,0,
88,0.56,0,0,
89,0.68,0,0,
90,0.78,0,0,
91,0.86,0,0,
92,0.93,0,0,
93,0.97,0,0,
94,1,0,0,
95,1,0,0,
96,0.98,0,0,
97,0.93,0,0,
98,0.87,0,0,
99,0.79,0,0,
100,0.69,0,0,
101,0.57,0,0,
102,0.44,0,0,
103,0.31,0,0,
104,0.16,0,0,
105,0.01,0,0,
106,-0.14,0,0,
107,-0.28,0,0,
108,-0.42,0,0,
109,-0.56,0,0,
110,-0.68,0,0,
111,-0.78,0,0,
112,-0.86,0,0,
113,-0.93,0,0,
114,-0.97,0,0,
115,-1,0,0,
116,-1,0,0,
117,-0.97,0,0,
118,-0.93,0,0,
119,-0.86,0,0,
120,-0.78,0,0,
121,-0.67,0,0,
122,-0.56,0,0,
123,-0.42,0,0,
124,-0.28,0,0,
125,-0.13,0,0,
126,0.02,0,0,
127,0.16,0,0,
128,0.31,0,0,
129,0.45,0,0,
130,0.57,0,0,
131,0.69,0,0,
132,0.79,0,0,
133,0.87,0,0,
134,0.93,0,0,
135,0.98,0,0,
136,1,0,0,
137,1,0,0,
138,0.97,0,0,
139,0.93,0,0,
140,0.86,0,0,
141,0.78,0,0,
142,0.68,0,0,
143,0.56,0,0,
144,0.43,0,0,
145,0.29,0,0,
146,0.15,0,0,
147,0,0,0,
148,-0.15,0,0,
149,-0.3,0,0,
150,-0.44,0,0,
151,-0.57,1,1,
152,-0.69,1,1,
153,-0.79,1,1,
154,-0.87,1,1,
155,-0.94,1,1,
156,-0.98,247,-9,
157,-1,247,-9,
158,-0.99,247,-9,
159,-0.97,247,-9,
160,-0.91,247,-9,
161,-0.84,247,-9,
162,-0.75,247,-9,
163,-0.63,247,-9,
164,-0.51,247,-9,
165,-0.37,248,-8,
166,-0.22,248,-8,
167,-0.06,248,-8,
168,0.09,248,-8,
169,0.24,248,-8,
170,0.39,249,-7,
171,0.52,249,-7,
172,0.65,249,-7,
173,0.76,249,-7,
174,0.85,250,-6,
175,0.92,250,-6,
176,0.97,251,-5,
177,1,251,-5,
178,1,252,-4,
179,0.98,252,-4,
180,0.93,253,-3,
181,0.86,253,-3,
182,0.77,253,-3,
183,0.66,254,-2,
184,0.53,255,-1,
185,0.39,255,-1,
186,0.24,0,0,
187,0.09,0,0,
188,-0.06,0,0,
189,-0.21,0,0,
190,-0.36,0,0,
191,-0.5,0,0,
192,-0.63,0,0,
193,-0.74,1,1,
194,-0.84,1,1,
195,-0.91,1,1,
196,-0.97,0,0,
197,-0.99,0,0,
198,-1,0,0,
199,-0.98,0,0,
200,-0.94,0,0,
201,-0.87,0,0,
202,-0.78,255,-1,
203,-0.67,254,-2,
204,-0.55,253,-3,
205,-0.41,253,-3,
206,-0.26,252,-4,
207,-0.1,251,-5,
208,0.06,250,-6,
209,0.22,249,-7,
210,0.37,248,-8,
211,0.52,248,-8,
212,0.65,247,-9,
213,0.76,246,-10,
214,0.86,245,-11,
215,0.93,245,-11,
216,0.98,244,-12,
217,1,243,-13,
218,1,243,-13,
219,0.97,243,-13,
220,0.92,243,-13,
221,0.84,243,-13,
222,0.75,243,-13,
223,0.63,243,-13,
224,0.5,243,-13,
225,0.36,243,-13,
226,0.21,243,-13,
227,0.06,244,-12,
228,-0.09,244,-12,
229,-0.24,244,-12,
230,-0.39,245,-11,
231,-0.53,245,-11,
232,-0.65,246,-10,
233,-0.76,246,-10,
234,-0.85,247,-9,
235,-0.93,247,-9,
236,-0.97,247,-9,
237,-1,248,-8,
238,-1,248,-8,
239,-0.97,249,-7,
